EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,TotalWorkingYears,YearsAtCompany,Attrition,EducationField,JobSatisfaction,OverTime,MaritalStatus,PerformanceRating
EMP1000,50,Male,Sales,Engineer,14770.02,6,2,No,Other,2,No,Single,3
EMP1001,36,Female,HR,Engineer,3475.24,26,1,No,Human Resources,4,No,Single,3
EMP1002,29,Male,IT,Consultant,18455.24,11,1,No,Marketing,4,No,Married,4
EMP1003,42,Female,Finance,Executive,14786.44,26,16,No,Other,1,Yes,Divorced,2
EMP1004,40,Male,IT,Executive,11379.32,17,9,Yes,Marketing,4,No,Divorced,3
EMP1005,44,Female,HR,Executive,10226.32,24,21,No,Medical,4,Yes,Divorced,3
EMP1006,32,Female,IT,Engineer,4786.77,28,9,No,Human Resources,2,No,Married,3
EMP1007,32,Female,IT,Consultant,7592.49,31,27,No,Technical Degree,2,No,Single,1
EMP1008,45,Female,HR,Manager,17706.78,13,7,No,Other,3,No,Divorced,2
EMP1009,57,Female,Sales,Analyst,18327.92,16,9,No,Other,4,No,Married,3
EMP1010,45,Female,Finance,Manager,2513.08,15,12,No,Life Sciences,3,No,Married,3
EMP1011,24,Male,HR,Engineer,12897.39,18,9,No,Technical Degree,3,No,Divorced,3
EMP1012,43,Female,R&D,Executive,15087.76,27,15,No,Other,2,No,Divorced,3
EMP1013,23,Male,Sales,Analyst,13328.07,28,2,No,Other,2,No,Married,3
EMP1014,45,Male,R&D,Engineer,3929.4,9,8,Yes,Technical Degree,1,No,Divorced,3
EMP1015,51,Female,Sales,Engineer,6310.19,12,7,Yes,Human Resources,2,No,Married,4
EMP1016,59,Male,Finance,Engineer,6880.95,15,6,No,Marketing,3,No,Divorced,2
EMP1017,23,Female,Finance,Analyst,17055.18,21,21,Yes,Technical Degree,4,Yes,Single,3
EMP1018,42,Male,IT,Analyst,10605.99,33,20,Yes,Marketing,3,No,Married,2
EMP1019,54,Female,R&D,Consultant,11019.49,19,7,No,Human Resources,3,No,Single,3
EMP1020,33,Male,Sales,Consultant,18860.63,23,3,No,Human Resources,3,No,Divorced,2
EMP1021,43,Female,Finance,Manager,13649.0,13,8,No,Medical,2,Yes,Married,2
EMP1022,46,Female,HR,Analyst,18226.68,1,1,No,Life Sciences,3,Yes,Divorced,3
EMP1023,48,Female,Finance,Analyst,10488.9,29,18,No,Human Resources,1,No,Married,3
EMP1024,49,Female,HR,Analyst,5115.13,24,17,Yes,Human Resources,4,No,Divorced,3
EMP1025,37,Male,Sales,Consultant,18773.87,16,11,No,Marketing,2,No,Single,3
EMP1026,36,Female,Finance,Engineer,10527.34,25,2,No,Human Resources,3,Yes,Single,2
EMP1027,24,Male,Finance,Executive,5678.55,23,21,No,Technical Degree,1,No,Divorced,2
EMP1028,58,Male,Sales,Consultant,7791.93,28,27,No,Medical,4,Yes,Single,3
EMP1029,28,Male,Finance,Analyst,3389.05,16,8,No,Medical,3,Yes,Single,4
EMP1030,42,Female,HR,Consultant,10695.26,11,3,No,Technical Degree,4,Yes,Divorced,3
EMP1031,30,Male,Finance,Manager,17429.74,3,3,Yes,Other,2,No,Married,3
EMP1032,39,Male,R&D,Analyst,18837.66,15,15,No,Human Resources,2,No,Divorced,3
